time,open,high,low,close,Plot,Plot,"BTCUSDTPERP, BINANCE: Open","BTCUSDTPERP, BINANCE: High","BTCUSDTPERP, BINANCE: Low","BTCUSDTPERP, BINANCE: Close",Volume,Volume MA,EMA,EMA,Histogram,MACD,Signal,Hist,MacNorm,Plot,Trigger,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1605985200,18766.71,18797.8,18587,18709.64,18722.88074,18722.88074,18766.71,18797.8,18587,18709.64,11429.7,15405.6489,18466.75489,18682.02802,-13.98263414,77.3730719,91.35570604,-0.151689608,-0.511578229,NaN,-0.359888621,53.73580596,56.86669978,NaN,NaN
1605988800,18709.64,18709.65,18609.03,18675.01,18716.04206,18716.04206,18709.64,18709.65,18609.03,18675.01,6860.191,14949.40015,18474.92175,18681.39002,-19.07348257,67.51385283,86.58733539,-0.199977535,-0.628826694,NaN,-0.428849159,51.74363302,56.48739459,NaN,NaN
1605992400,18675,18725,18602.08,18676.86,18710.44463,18710.44463,18675,18725,18602.08,18676.86,6195.088,14425.18585,18482.8409,18680.9782,-21.93580179,59.16758316,81.10338495,-0.221244312,-0.725607934,NaN,-0.504363621,51.84633918,55.98080354,NaN,NaN
1605996000,18676.87,18676.87,18537.23,18658.95,18703.08825,18703.08825,18676.87,18676.87,18537.23,18658.95,12441.194,13787.7909,18489.74714,18678.97564,-24.46231549,50.52549059,74.98780608,-0.238288094,-0.825182392,NaN,-0.586894298,50.72086111,55.06972385,NaN,NaN
1605999600,18658.94,18770.37,18633.02,18721.99,18705.7885,18705.7885,18658.94,18770.37,18633.02,18721.99,8803.039,13445.0966,18498.8547,18682.88603,-21.42411432,48.20766318,69.6317775,-0.187349199,-0.843916143,NaN,-0.656566944,54.46753109,55.12140262,NaN,NaN
1606003200,18721.99,18780,18523.2,18575,18687.10443,18687.10443,18721.99,18780,18523.2,18575,15240.862,13144.4609,18501.84079,18673.07821,-28.41211923,34.11662845,62.52874769,-0.256172679,-1,NaN,-0.743827321,45.7358924,54.60242974,NaN,NaN
1606006800,18574.99,18635.84,18380.31,18497.16,18659.96951,18659.96951,18574.99,18635.84,18380.31,18497.16,22845.8,13837.6815,18501.65723,18657.08565,-36.84028471,16.4783918,53.31867651,-0.18320236,-1,NaN,-0.81679764,41.90480863,54.04634248,NaN,NaN
1606010400,18496.83,18625.88,18459.43,18604.69,18652.07244,18652.07244,18496.83,18625.88,18459.43,18604.69,9646.528,13821.49875,18505.69773,18652.32241,-33.81544975,11.04936432,44.86481407,-0.124023359,-1,NaN,-0.875976641,48.34222618,53.58654184,NaN,NaN
1606014000,18604.7,18617,18515.06,18585.39,18642.54638,18642.54638,18604.7,18617,18515.06,18585.39,6947.076,13780.38795,18508.82292,18646.23764,-31.7875849,5.130332944,36.91791785,-0.078525207,-1,NaN,-0.921474793,47.32853218,52.59162121,NaN,NaN
1606017600,18586.19,18635.84,18460,18625.27,18640.07832,18640.07832,18586.19,18635.84,18460,18625.27,8297.392,13711.83685,18513.38947,18644.33149,-26.64172595,3.615760404,30.25748636,-0.045972126,-1,NaN,-0.954027874,49.67671412,51.9929548,NaN,NaN
1606021200,18625.27,18626,18509.89,18540.07,18625.79142,18625.79142,18625.27,18626,18509.89,18540.07,6148.357,13299.4113,18514.43577,18634.85318,-27.73291464,-4.408656946,23.3242577,-0.024272863,-1,NaN,-0.975727137,45.05533426,50.92312547,NaN,NaN
1606024800,18540.07,18612.49,18425,18513.99,18609.81979,18609.81979,18540.07,18612.49,18425,18513.99,10810.589,13296.9958,18514.41829,18623.86561,-28.84005284,-12.72580835,16.11424449,-0.010821896,-1,NaN,-0.989178104,43.71473393,49.96452407,NaN,NaN
1606028400,18514,18536.2,18310,18524.37,18597.61267,18597.61267,18514,18536.2,18310,18524.37,17130.7,13489.69925,18514.80855,18614.82056,-27.50662553,-18.26903742,9.237588106,-0.00346853,-1,NaN,-0.99653147,44.42352551,48.98546644,NaN,NaN
1606032000,18524.37,18531.71,18230,18249.99,18547.95229,18547.95229,18524.37,18531.71,18230,18249.99,17792.322,12965.09075,18504.42351,18581.65414,-42.82342428,-44.29169225,-1.468267965,0,-1,NaN,-1,32.70093137,47.2426335,NaN,NaN
1606035600,18249.99,18440,18180,18405.8,18527.64482,18527.64482,18249.99,18440,18180,18405.8,20472.816,13027.45735,18500.55592,18565.6674,-40.22200623,-51.74577575,-11.52376952,0,-1,NaN,-1,42.05228688,46.40809642,NaN,NaN
